"","x"
"RT @GarrettNBCNews: I know its a big world but: No questions on Euro debt crisis or troops to Australia and very little on China. These matter too #cnndebate",21
"RT @GarrettQuinn: I want Rick Perry to say &quot;serious about Syria&quot; five times fast. #CNNDebate",3
"RT @gatewaypundit: Romney Says we have to quit the magnets for illegals--- (Romney gave healthcare to Illegals in Mass!) http://t.co/oBdLOhP1 #CNNDebate",7
"RT @gatewaypundit: RT @BrentBozell: Sorry, folks, but Ron Paul is crackers. #cnndebate",3
"RT @GerardMulligan1: Newt says he believes strongly in families. That's why he keeps starting new ones. #CNNdebate",3
"RT @GerryDuggan: When 8 batshit crazy people debate they're usually plotting to kill the Batman. #GOPDebate #TweetThePress",12
"RT @GoforthandC: &quot;Why don't we just mind our own business?&quot;--Ron Paul #CNNdebate",5
"RT @GOPBlackChick: From day one, Obama has been apologist POTUS. Remember his speech 2 Muslim World in Egypt. REMEMBER that!!! #CNNdebate",4
"RT @GovGaryJohnson: Absolutely ending marijuana prohibition = less death on the border #CNNdebate",12
"RT @GovGaryJohnson: Sorry - most of these immigration answers just don't make sense. #CNNdebate",4
"RT @Heritage: America must stop leading from behind in the Middle East http://t.co/6Z030z8B #cnndebate",7
"RT @Heritage: Cain: The most effective tools we have is a strong military and our own economic strength. #CNNDebate",24
"RT @Heritage: Cain: Yes, an insecure border is a national security threat...Secure the border, enforce the laws,  empower states #CNNDebate",3
"RT @Heritage: Containing a Nuclear Iran: Difficult, Costly, and Dangerous http://t.co/wxgPgOJ8 #cnndebate",7
"RT @Heritage: Get serious on Syria. Read more about it here: http://t.co/n6oJbZBq #cnndebate",6
"RT @Heritage: Huntsman on Iran: Let's let history be our guide. Our interest in the Middle East is Israel and that Iran does not go nuclear. #CNNDebate",25
"RT @Heritage: Illegal Immigration: Greater Efforts Still Needed to Combat Smuggling &amp; Violence http://t.co/ONN9WzKp #cnndebate",4
"RT @Heritage: It's Time for America to Get Cyber-Serious http://t.co/l4OUwnW2 #cnndebate",9
"RT @Heritage: Paul: We have a national responsibility for our borders...We need better immigration services, obviously. #CNNDebate",3
"RT @Heritage: Perry: Syria is a partner with Iran in exporting terrorism. If we're serious about Iran, we have to be serious about Syria. #CNNDebate",23
"RT @Heritage: Perry: The real issue is securing the border. This conversation is never going to end until we secure the border. #CNNDebate",3
"RT @Heritage: Santorum says he is very concerned about Central and South America and the spread of socialism. #CNNDebate",10
"RT @Heritage: The U.S. cannot afford to ignore a rising China that threatens its neighbors. http://t.co/YoItOQUS #cnndebate",3
"RT @Heritage: What You Should Know About EMP (electromagnetic pulse) http://t.co/oyXZ1Wcm #cnndebate",16
"RT @Heritage: What you should know about the debate over China http://t.co/YjKwNtIE #cnndebate",3
"RT @hipEchik: RT @MelissaTweets: Ron Paul's biggest foreign policy concern is America. #cnndebate",3
"RT @holtzmanjason: #Perry: #Israel is a friend and ally, we need to remind the world what that means. #GOPdebate #CNNdebate",4
"RT @HuffingtonPost: Rick Santorum calls Africa a 'country' http://t.co/5teRP2Fu #cnndebate",6
"RT @HuffPostPol: Mitt Romney: Hezbollah in Latin America poses a &quot;very serious threat&quot; #cnndebate huff.to/rFkSyO",4
"RT @HuffPostPol: Romney comes out strongly against Perry's idea for no-fly zone over Syria #cnndebate huff.to/rFkSyO",7
"RT @IAmDrTiller: &quot;The greatest threat to our national security is the American Enterprise Institute &amp; Heritage Foundation.&quot; - OH on my fb feed #cnndebate",3
"RT @IcarusPundit: Newt Gingrich is so far ahead in this debate, he may also win Dancing With The Stars on ABC too. #cnndebate",3
"RT @IcarusPundit: Ron Paul: &quot;why do we need to be looking for wars on foreign soil when there are TEENAGERS ON MY LAWN RIGHT HERE!&quot; #cnndebate",3
"RT @ImpeachTheIdiot: LOL! RT @Smalltalkwitht: #CNNDebate - We need to pass a NO ANCHOR BABIES law immediately! @ToadonaWire",3
"RT @irishspy: Ron Paul gets al Qaeda all wrong. #cnndebate",4
"RT @JacksonDiehl: Paul: We should stop annoying the Taliban, too. #Cnndebate",3
"RT @jackwadeshow: By carrying this circus sideshow they call a debate, CNN has lost what little credibility it has left! #CNNDebate",5
"RT @JamesFallows: 1) I think these GOP debates are a plot to make me kill myself 2) Or else to make me vote for Ron Paul #cnndebate",5
"RT @JamesFallows: Ron Paul may be a gold bug etc, but boy on civil liberties, gratuitous wars, drug war, He Is The Man #cnndebate",12
"RT @JamesFallows: RT @drgrist: It was nice of the Federal Supermax prison to let Wolfiwitz and Addington out for the evening. #cnndebate",9
"RT @jamiekilstein: RT @drgrist: Holy shit, it's Addington! It's like warcriminalpalooza tonight! #cnndebate",5
"RT @JamilSmith: David Addington asks a question, again without any kind of indication as to who he is, or what he's done: http://t.co/fLJ9ULK3 #cnndebate",6
"RT @JamilSmith: Mitt would staple a green card to immigrants' math and science graduate degrees? What if they tell you climate change is real? #cnndebate",7
"RT @JamilSmith: Rick Perry thinks he's running for King. Only explanation left. #cnndebate",4
"RT @JamilSmith: So kind to allow these Republicans a chance to define President Obama's foreign policy without challenge from the moderator. #cnndebate",3
"RT @Jan_Olsmar: I think Ron Paul have understood the world. The others sounds like terrorists. #CNNDebate",3
"RT @Jarjarbug: #Newt is RIGHT.... when it comes down to it WE WILL NOT EXPEL  any LONG TERM ILLEGAL IMMIGRANT!!!! THIS is REALITY!!!!  #tcot #CNNDebate",4
"RT @Jarjarbug: NO Mr. Ron Paul....  TALIBAN wants to KILL us THERE and OVER HERE TOO!!!! #FortHood WAS ON HOME SOIL - #tcot #CNNDebate",4
"RT @JasonBWhitman: I need a xanax to deal with Ron Paul. #CNNDebate",4
"RT @JasonBWhitman: Why is Ron Paul getting so many questions in this debate. He is so out of step with the GOP on FP it is just painful. #CNNDebate",6
"RT @jbplainblog: RT @conor64: If you ever wondered what someone complicit in torture looks like take a look at David Addington. #CnnDebate",5
"RT @JeffChanceUSA: @newtgingrich has an excellent pledge on imigration.  Makes sense and has a chance to be implemented http://t.co/RRILXO0W #cnndebate",3
"RT @jeremyscahill: Damn you @KatieZimmerman!!! #Somalia #CNNDebate",4
"RT @jeremyscahill: Marc Thiessen? I am. On. The. Ground. #CNNDebate",4
"RT @jeremyscahill: Ron Paul seems to have no idea what al Shabaab is #CNNDebate",10
"RT @jeremyscahill: The # of ex-officials who belong in jail who've asked questions at #CNNDebate is greater than # of real natsec questions",59
"RT @jeremyscahill: The second I saw @KatieZimmerman step up, I knew I was toast. #Somalia #CNNDebate #WholeBottleOfTequila",5
"RT @JessaNaomi: The reason we're not focusing on growing the economy tonight, #Cain, is because this is a foreign policy/nat'l security debate. #cnndebate",3
"RT @JGrecko: #Newt made good points about the border and how to actually handle the situation. Romney didn't address it. #withNewt #cnndebate #tcot",5
"RT @jimspellmancnn: Electromagnetic pulse attack!! Newt just gave us something brand new to be afraid of! #cnndebate",3
"RT @jkfecke: After Addington, I assume Pinochet will ask the next question. #cnndebate",4
"RT @jm3679: Ron Paul always schools the crowd.  #CNNDebate",9
"RT @jmsummers: Romney: &quot;This is not the time for a no-fly zone over Syria.&quot; Notes 500 tanks &quot;maybe a no-drive zone.&quot; #CNNDebate",4
"RT @JoeMyGod: Ask him about Ubeki-beki-beki-stan-stan! #CNNdebate",5
"RT @JoeMyGod: Because anchovies and extra cheese prepare you to be a nuclear strategist. #CNNdebate",6
"RT @JoeMyGod: Feh.  Unless something happens during the credits, this debate is a big FAIL for bloggers. BORING. #CNNdebate #MoreHairPullingPlease",3
"RT @JoeMyGod: Gingrich is a SENIOR FELLOW for the org permitted to ask this question.  IMPARTIALITY! #CNNdebate",4
"RT @JoeMyGod: Heritage Foundation reminder: Powerful anti-gay hate group with VERY deep lobbying pockets. #CNNdebate",8
"RT @JoeMyGod: Herman Cain: &quot;Syria? Is she one of the ones suing me?&quot; #CNNdebate",13
"RT @JoeMyGod: RT @BorowitzReport: Audience member: &quot;Mr. Cain, you are the first Black person I've ever spoken to.  What are you like?&quot; #CNNDebate",3
"RT @Jon_HuntsmanUSA: @JonHuntsman won the #CNNDebate! While @MittRomney focuses on pandering and poll numbers, Huntsman showed what it means to lead. #Jon2012",3
"RT @JonHuntsman12: Jon Huntsman full policy on Arab Spring &amp; Middle East: http://t.co/R6EgMN2a #cnndebate #israel #iran",4
"RT @JonHuntsman12: RT If you think @JonHuntsman is the clear winner of the #CNNDebate so far &amp; has the knowledge/experience necessary to be commander-in-chief.",4
"RT @JonVictorino: Michelle Bachmann just made so many geeks in Silicon Valley furious by accidentally saying Steve Gates. http://t.co/APFFclbk #CNNdebate",3
"RT @JordanSekulow: Based on that answer, would Ron Paul just sit back and let a genocide happen? #cnndebate",3
"RT @JoshDorner: WOW: Paul Wolfowitz appearance easily topped by dark force of former Cheney VP CoS and torture/war enthusiast David Addington #cnndebate",6
"RT @joshrogin: Nobody on this stage can answer this very fair question on Somalia and that is depressing #CNNdebate",17
"RT @JoyVBehar: Huntsman is smart and a looker. Huntsman/Paul ticket could work. #cnndebate",32
"RT @JoyVBehar: Ron Paul can't take it anymore.he needs to lie down #cnndebate",20
"RT @JoyVBehar: Ron Paul thinks they're  all kinda dumb, I think. He can hardly disguise his contempt #cnndebate",3
"RT @JoyVBehar: There must be a lot of pot heads in that audience. Ron Paul got a lot of applause on that. #cnndebate",10
"RT @JuliaCHurley: Best drinking game ever: a shot for every time some1 says Israel or Iran during #GOPDebate. You'll be wasted 10 mins in making it bearable",3
"RT @JulieBorowski: &quot;You want to get rid of drug crime in this country? Fine, let's just get rid of all the drug laws&quot; - Ron Paul. #cnndebate",5
"RT @justin_hart: RT @hughhewitt: Q for Newt: How many years does it take for family to qualify to stay?  25, 20, 15 10, 5?  #tcot #cnndebate #hhrs",3
"RT @jwhaley2040: Ron Paul is the only contender answering the questions directly #CNNDebate (via @CatoFP) #RonPaul2012",3
"RT @kady: It's like some sort of job fair for political pundits. #cnndebate",3
"RT @Karoli: Ron Paul thinks we should have a policy of good will toward other countries. But not people here. #CNNdebate",10
"RT @kathryndelong: Perry says to privatize TSA. Pretty sure Ron Paul has been saying that for the last 10 years. #CNNdebate",3
"RT @kathryndelong: Ron Paul: What if there were armed Chinese troops in Texas? http://t.co/NC2kg0V0 #CNNdebate #RonPaul2012 #tlot #tcot",7
"RT @Katie4Politics: I really like @wolfblitzercnn as a moderator for the #CNNDebate, but I wish more questions would go towards @THEHermanCain",4
"RT @keder: Huntsman's answers are even more long-winded and incoherent than Ron Paul's. #cnndebate",4
"RT @keder: Mitt Romney changes the subject to Obama's failure...and then doesn't say much of anything. #cnndebate #tcot",6
"RT @keder: OMG NEWT GINGRICH IS AS MUCH OF A RINO ON ILLEGALS AS PERRY IS! #cnndebate",4
"RT @keder: PHEW I thought Cain was going to say 9-9-9. #fingerscrossed #cnndebate",4
"RT @kelly_carlin: RT @David_Feldman_: The Heritage Foundation is a veritable Who's Who of Who Destroyed America. #CNNDebate /Beautiful.",5
"RT @kelly_carlin: RT @studentactivism: Henry Kissinger asking the next question. The Zodiac Killer is on line behind him. #CNNDebate",3
"RT @KellyAlysia: I do agree w Ron Paul on war on drugs being a failure. For the record. Dad supports the legalization/taxation of marijuana too. #cnndebate",3
"RT @KerryPicket: There are fires burning on the border right now being soft on illegal immigration is not a good idea  #cnndebate",3
"RT @kesgardner: Dear Ron Paul, please STFU and go away.  #cnndebate",5
"RT @kesgardner: FIXED: Perry is absolutely right: unless you secure the border FIRST, we can never fix the immigration problems. #cnndebate",4
"RT @kesgardner: THIS.  X1000.  RT @MelissaTweets: Ron Paul's biggest foreign policy concern is America. #cnndebate",3
"RT @kevnham: There is only one candidate on this stage with a coherent foreign policy - Ron Paul. #CNNDebate #GOPDebate",5
"RT @KLSouth: Lookie Here!  Mitt likes Amnesty. -&gt;  http://t.co/u1YPQ5N8  In 2008. #cnndebate",3
"RT @KLSouth: RT @gatewaypundit Romney Says we have 2 quit the magnets 4 illegals (Romney gave HC  to Illegals in MA!) http://t.co/c5vjhAvH #CNNDebate",3
"RT @KLSouth: Video: Mitt Romney supported Amnesty  http://t.co/K0wIosZP  #cnndebate",3
"RT @KrystalBall1: So true. @peterdaou: They should have titled this #CNNDebate &quot;return of the neocons&quot;",4
"RT @KrystalBall1: This whole argument that Obama apologizes for America is so ridiculous and completely baseless. #CNNDebate",9
"RT @kylemaichle52: Excellent debate comeback by @THEHermanCain tonight!!!   Good command on foreign policy issues in a critical debate. #citizencain #cnndebate",3
"RT @kylemaichle52: Good response by @THEHermanCain on what looked like to be a trap question on Syria. #cnndebate #citizencain #tcot #sgp #tpp",4
"RT @LargeRedTractor: Illegal immigration is a non-issue. This sour economy has done more to curb illegal immigration than any President ever could. #CNNDebate",3
"RT @latinorebels: Santorum is &quot;concerned&quot; about the leftists socialists government of Latin America. Psst, you only have 1% of the vote. #CNNDebate",3
"RT @LATSeema: Now we're at the part of the debate where all the other GOP candidates look at Ron Paul like he's on crack #cnndebate",12
"RT @LaydiHD: What the Sam Hell was Ron Paul just doing? Whining or talking? That was NOT Presidential! #CNNDebate",3
"RT @LegInsurrection: So now all the Romney supporters who said Newt was not &quot;moderate&quot; enough for general election are saying? #CNNDebate",3
"RT @lheal: MT @moelane: Fast. And. Furious.  We want it on the #cnndebate record.",3
"RT @LibertyBias: #RonPaul is getting time tonight. And that's all I've ever asked for. Thank you #CNNDebate",5
"RT @LibertyPoet: Every government democratic or not is capable of tyranny. We must understand this if we hope to remain a free people -- Ron Paul #CNNDebate",9
"RT @LibertyPoet: Jefferson, Madison, and Washington explicitly warned against involving ourselves in foreign conflicts -- RonPaul #RonPaul #CNNDebate",4
"RT @LibertyPoet: We are not yet living in a total police state but it is fast approaching the seeds of future tyranny have been sown -- Ron Paul #CNNDebate",7
"RT @LibertyPoet: We must not allow the disastrous results of corporatism to be ascribed incorrectly to free market capitalism - Ron Paul #RonPaul #CNNDebate",6
"RT @LibertyTango: Dear Rick Perry, I'm not serious about saving Israel - I'm serious about saving America - from A-holes like you. #CNNDebate",4
"RT @LibertyTango: The drug war undermines our civil liberties and magnifies problems on the border. #RonPaul #CNNDebate",3
"RT @LilianaSegura: It's gonna be sooo awkward when Santorum realizes &quot;Somalia&quot; is a country *in* Africa. #CNNDebate",6
"RT @lissnup: PS: I deplore the excessive use of ignorance in the #CNNdebate and call on both sides to exercise restraint.",4
"RT @Lizzs_Lockeroom: Ron Paul wins this one #Cnndebate",3
"RT @LogCabinGOP: Huntsman: &quot;We need to remind the world what it means to be a friend and ally of the US...Our interest in mideast is Israel.&quot; #CNNdebate",4
"RT @LOLGOP: &quot;Herman Cain, you may not know this.&quot; Most accurate statement of the night. #CNNDebate",56
"RT @LucyStag &quot;If you want to inspire Al-Qaeda, just meddle&quot; -- Paul. #cnndebate",3
"RT @mackiesmama: #China #China #China people. It's a big country. We owe them lotsa money. They're building a big scary military. Hello? anyone? #CNNdebate",5
"RT @markzbarabak: Huntman caps best debate performance of season with articulate, sweeping spin around the Middle East #CNNDebate",23
"RT @Mary_Trujillo: China is headed for the &quot;ash heap of history&quot;? What universe does Rick #Perry live in??? #CNNDebate",3
"RT @MaryRocco: #CNNDebate #GOPDebate After listening to this debate, Iran will put their nuclear program into warp drive. #saberrattling #evilgopbastards",5
"RT @mattfraction: @GerryDuggan: When 8 batshit crazy people debate they're usually plotting to kill the Batman. #GOPDebate #TweetThePress",7
"RT @MaxBlumenthal: Huntsman makes it plain: &quot;Our interest in the Middle East is Israel.&quot; So much for all that crap about strategic assets. #CNNDebate",15
"RT @MaxBlumenthal: The brilliance of Rick Perry: impose no fly zone over Syria to prevent Iran from getting nukes. #CNNDebate",13
"RT @meglanker: I'd vote for Huntsman because he can pronounce &quot;nuclear&quot; correctly. #IHaveLowStandards #GOPdebate #teabate #CNNdebate",8
"RT @meglanker: Note to Romney: Undocumented immigrants paid $11B+ in taxes last year. That's more than GE and B of A's $0. #GOPdebate #teabate #CNNdebate",5
"RT @meglanker: Santorum: Socialism and Islam are gonna eat your babies!!!!! #GOPdebate #teabate #CNNdebate",5
"RT @MelissaTweets: Good! Huntsman hits Obama on missing the &quot;Persian Spring&quot;. #cnndebate",3
"RT @MelissaTweets: Perry biggest foreign policy concern: China. #cnndebate",3
"RT @MelissaTweets: Perry calls Syria a partner with Iran. #cnndebate",3
"RT @MelissaTweets: Perry is right. Until the border is secured, this is all an &quot;intellectual exercise.&quot;  #cnndebate",4
"RT @MelissaTweets: Ron Paul's biggest foreign policy concern is America. #cnndebate",19
"RT @MelissaTweets: RT @Ben_Howe: Ron Paul again creating motives for Muslim terrorists that doesn't include &quot;homicidal religious fanatics.&quot; #cnndebate",3
"RT @MelissaTweets: Yep #cnndebate RT @ExJon: Migrant workers were never a big issue until Washington created all the handout programs.",7
"RT @michaelajones: For anyone who needs a reminder that David Addington is a war criminal - http://t.co/0MVDsdt1 #CNNDebate",3
"RT @MichelleFields: RT @LucyStag &quot;If you want to inspire Al-Qaeda, just meddle&quot; -- Paul. #cnndebate",8
"RT @mikerogerstx: Ron Paul is the man, give him time to speak, grab a notebook and get ready to be taken to school #CNNDebate",8
"RT @mmcnarney: The CNN executive producer just found the three black guys in the auditorium. Took 90 minutes. #cnndebate",3
"RT @mollycrabapple: Herman Cain's brain  replaced by a random Republican word generator &quot; no no fly zone = cut till cows come home = economic growth&quot; #CNNDebate",6
"RT @mollycrabapple: Perry:  &quot;China can no succeed!  Because of Abortions!  Everywhere!&quot; #CNNdebate",4
"RT @mollycrabapple: Ron Paul &quot;The Al Quaeda.&quot;  &quot;Al&quot; means &quot;the&quot;, Ron!  #arabicfailnailsonchalkboard #CNNDebate",3
"RT @mollycrabapple: Ron Paul suggests people in other countries have own thoughts, motives and feelings. Blank incomprehension from crowd #CNNdebate",16
"RT @mtracey: Funny how Ron Paul making basic statements of fact is so controversial before this Movement Conservative audience. #CNNDebate",4
"RT @NatJournalBaron: Cain: Our strong military, it is getting weaker #CNNdebate // Dear military, would you care to respond?",3
"RT @nealcarruth: Romney, as always, sticks with his approach of turning most questions into opportunities to attack President Obama. #CNNDebate",3
"RT @NeitherParty: words of wisdom from @RonPaul: &quot;Why don't we just mind our own business?&quot; #cnndebate",5
"RT @NewCentrist: #CNNDebate why don't we educate and employ the excess labor we have here first; incentivize them to get STEM degrees.",3
"RT @NewWorldRadical: #RonPaul: A no fly zone is ultimately an act of war. How would we react if China placed a no fly zone over the US? #cnndebate #nwr",4
"RT @NewWorldRadical: #RonPaul: Let's worry more about our borders and less about Pakistan and Afghanistan's. // Sounds logical to me. #cnndebate #nwr",5
"RT @nit2am: Ron Paul just gave accurate appraisal of the Taliban: only having domestic ambitions - to remove the occupier. #CNNDebate #Afghanistan",3
"RT @nNomad_: Question to #cnnDebate: Is Heritage Foundation the only place you sent invitations for tonights #gop debate or did no one else want to come?",3
"RT @notjessewalker: And then there's the threat from Antarctica, where hostile life has been discovered in a crashed flying saucer. #CNNDebate",3
"RT @notjessewalker: This debate was brought to you by CNN and the Bush Administration in Exile. #CNNDebate",7
"RT @NYPostOpinion: Paul: turtle shell again. #cnndebate",3
"RT @OccupyArmy: http://t.co/sKWPqj00 @occupyMARINES @OccupyMARINES3 #ophorizon #ows #cnndebate @OccupyAirForce @Occupy_Police @OccupyVeterans @OccupyPSYOP",6
"RT @OHMANducky: Ron Paul might be the only one on that stage who isn't completely full of ****. #RonPaul2012 #cnndebate",3
"RT @OliverCooper: Santorum and Romney talking about Latin America must play well with Hispanics. If only they didn't want to deport them all. #CNNdebate",3
"RT @owillis: &quot;im david addington and i pooped all over the constitution. how would you smear fecal matter on our most important document?&quot; #cnndebate",4
"RT @owillis: i just got it. huntsman is like the aaron sorkin version of a republican. #cnndebate",6
"RT @oxfordgirl: goodness, they R talking abt world domination. OOOh &amp; covert ops 2 get regime change in Syria.Ever wondered y sum might not lk u? #CNNdebate",3
"RT @P0TUS: &quot;And, in summary, a no-fly zone over Oklahoma will keep the communist Chinese out of Serbia&quot; #CNNdebate",6
"RT @P0TUS: Newt: &quot;We should allow illegals in if they've been here 25 years. Except if they have cancer&quot; #CNNdebate",9
"RT @P0TUS: Poor Herman. Stop Syrian oil exports? Syria is 55th in thew world in oil exports, moron. http://t.co/eRZyrp09 #ThatllWork #CNNdebate",15
"RT @Paeter_Michael: So I guess tonight's the night I become a Ron Paul fan #CNNDebate",5
"RT @pamspaulding: RT @paulbegala: David Addington now gets a question.  First Wolfowitz, now Addington.  Who's next, the Riddler?  Penguin? #CNNdebate",3
"RT @pandagon: Huntsman: &quot;The real national security crisis is our dangerous love deficit.&quot; #CNNDebate",3
"RT @partofaplan: Ron Paul has this crazy idea that if we stopped messing with other countries maybe they'd stop messing with us. #CNNDebate",4
"RT @PaulBegala: David Addington now gets a question.  First Wolfowitz, now Addington.  Who's next, the Riddler?  Penguin?  #cartoonvillains #CNNdebate",70
"RT @PaulBegala: OK, now Marc Thiessen gets a question.  Neocon Losers for $200, Wolf.  #CNNdebate",10
"RT @PaulBegala: Question re: al Qaeda affiliate al Shabaab.  Perry thinks it's a doo-wop band.  #CNNdebate",6
"RT @Paulitifact: @RonPaul quoting Paul Wolfowitz to support his answer. Neo-con heads everywhere nearly imploded. #CNNDebate #bestmoment",5
"RT @PDXiiv: RT Note to Romney: Undocumented immigrants paid $11B+ in taxes last year That's more than GE and B of A's $0 #GOPdebate #teabate #ows #opdx",5
"RT @PennyRed: Rick Perry looks and sounds like a an animated Ken doll with a voicebox of stock prejudices. Paul Wolfowitz asked a question. #CNNdebate",5
"RT @PennyRed: You know it's a very scary situation America is in when Ron Paul is sounding like the sane one. #CNNDebate",29
"RT @PerryStudents: Earlier today Perry proposed a Syrian no-fly zone. &quot;If we're serious about Iran, then we have to be serious about Syria as well.&quot; #cnndebate",3
"RT @PerryStudents: We're so proud of @GovernorPerry, especially after a great performance at the #CNNdebate! What was your favorite Perry moment? #tcot",3
"RT @PerryTruthTeam: Perry supports tougher sanctions against Syrian govt, supports Syrian people http://t.co/5Kr1ojZT #CNNDebate",10
"RT @peterdaou: They should have titled this #CNNDebate &quot;return of the neocons&quot;",9
"RT @piersmorgan: I don't think many Americans are currently looking at Michele Bachmann and thinking: 'That's my next Commander-in-Chief.' #cnndebate",4
"RT @piersmorgan: My leader-board so far: 1) Gingrich 2) Huntsman 3) Romney #cnndebate",4
"RT @piersmorgan: Still baffles me that @JonHuntsman polls so low. Smart guy. #cnndebate",18
"RT @piersmorgan: This is the best quality debate so far. Good arguments, no real gaffes, and some proper fire in a few bellies emerging. #cnndebate",23
"RT @piersmorgan: Why so few attacks on Obama tonight? Because he's done pretty darn well on national security &amp; foreign policy, and they know it. #cnndebate",139
"RT @PJCrowley: Congratulations to #HermanCain. A simple, cogent and correct statement. Cybersecurity is a compelling national security threat. #CNNdebate",9
"RT @PoliTexan: I long 4 the day when nonborder states fully understand what @GovernorPerry is saying, Border Security FIRST! then immigration! #CNNDebate",3
"RT @Politicolnews: I wish Pepper Spray permeated my LED TV right now, I'd spray these bastards down, right quick. #CNNDebate",3
"RT @politicoroger: Cain: &quot;Having been a ballistic analyst and computer scientist early in my career...&quot; Which is why he ended up selling pizzas? #CNNDebate",4
"RT @politicoroger: Newt endorses being &quot;humane&quot; about immigration and nobody boos. Amazing. #CNNDebate",3
"RT @politicoroger: No fly zone over Syria? Does Perry know about the missiles Syria has purchased from the Russians? And the jets Syria has? #CNNDebate",4
"RT @postpolitics: Romney: President Obama's says America is just another nation with a flag http://t.co/DwaVLDYk #CNNDebate",16
"RT @postpolitics: Ron Paul: You have to understand who the al-Qaeda really is http://t.co/DwaVLDYk #CNNDebate",3
"RT @Pres_Bartlet: Wolf Blitzer just thanked us all. I assume for putting up with all that. #CNNdebate",5
"RT @Pres_Bartlet: You know who never gets to talk to Republican candidates? The Heritage Foundation. #CNNdebate",15
"RT @Pres_Bartlet: You know, when you talk about covert efforts, Governor Romney, they aren't really covert anymore. #CNNdebate",5
"RT @profblmkelley: Shorter question about greatest threat... Which people would YOU prefer to demonize... #CNNDebate",3
"RT @ProgressFlorida: Wolf starts question &quot;Herman #Cain, you may not know this but...&quot; #loweredexpectations #CNNDebate",5
"RT @PugPoppa: If all of the candidates aside from #RonPaul had their way, Antartica would be the only safe place on Earth, for now #cnndebate",4
"RT @pvenable: #RickPerry is right. Secure the border first...&amp;  Romney doesn't know what he is talking about #CNNdebate",4
"RT @rachelhoff814: Gov. @MittRomney the first candidate to stand up for American exceptionalism &amp; an American century. Hoorah! #cnndebate",3
"RT @rationalists: Rick Santorum said, &quot;Africa is a country on the brink.&quot; Ron Paul smirked. Herman Cain nodded in agreement. #CNNdebate",74
"RT @rationalists: The candidates are complaining about spending. But named 3 countries we should go to war with. Any questions? #CNNdebate",14
"RT @RClarkeCooper: Huntsman goes beyond #Iran sanctions and talks about bolstering allies such as #Israel. #cnndebate @UANI @HFACrepublicans",6
"RT @RDevro: Mitt Romney disagrees with the notion that Americans have interests in common with other people in the world. #CNNdebate",8
"RT @rdsanchezjr: I'm trying *really* hard not to think about how @SarahPalinUSA would be owning this #CNNdebate right now, HOOAH!",3
"RT @RealBuckyB: Don't pick me, don't pick me, don't pick me...damn it ~~ Herman Cain #CNNDebate",4
"RT @RealityReport: New Iowa Poll Places Ron Paul Firmly in First, with 25% ? Revolution PAC #cnndebate Plz RT http://t.co/Yi5ocQtD",4
"RT @Remroum: Explaining to people in England who Rick Perry &amp; Michele Bachmann are is hard. &quot;Picture: Part EDL, part Spice Girl&quot; #CNNDebate #GOPDebate",5
"RT @RepJackKimble: Great diversity here.  All colors in crowd -- White, Caucasian, Pearl, Ivory, Off White, Taupe, Alabaster, Chalky, Blanched #CNNDebate",4
"RT @RevPac: New Iowa Poll Places Ron Paul Firmly in First, with 25% ? Revolution PAC #cnndebate Plz RT http://t.co/j4EGFWzA",39
"RT @RhondaBentz: Huntsman says what no one else will. One gutsy dude. #jon2012 #CNNDEBATE",3
"RT @rickklein: Huntsman gets bonus points for talking about the economy and broken US government. #cnndebate",4
"RT @rickperryfacts: Day one. Rick Perry will take out this Al Kiduh fellow. #CNNDebate",3
"RT @RightKlik: #CNNDEBATE If I hang out in Newt's basement for 25 years, do I get to stay?",3
"RT @rkref: Marc Thiessen! Represent! Is there no former Bushie that isn't employed by AEI? #cnndebate",3
"RT @rkref: Remember when Obama told OBL he was sorry for America. And then killed him. #cnndebate",9
"RT @rkrishnakumar: Bingo! -&gt; Ron Paul: &quot;Israel has 200-300 nuclear missiles. They can take care of themselves.&quot; #cnndebate",5
"RT @RodDMartin: Newt pledges to secure border by Jan 1 2014 and opposed the DREAM Act.  Here are the facts: http://t.co/GT1kxgRS #CNNDebate #tcot",3
"RT @RodDMartin: Perry has just done GREAT tonight. He is NOT out. I think we all spoke too soon. #CNNDebate #tcot",10
"RT @rolandsmartin: &quot;I'm prepared to take the heat.&quot; Newt is making not separating the families of illegal immigrants a pro-family GOP argument #cnndebate",5
"RT @rolandsmartin: &quot;Why don't we mind our own business.&quot; Rep. Ron Paul on messing with other countries #cnndebate",22
"RT @rolandsmartin: David Addington, VP of the Heritage Foundation, asked that last question. He's also Cheney's former chief of staff #cnndebate",5
"RT @rolandsmartin: Did Cain just say he would work with our allies in the region where Syria is to stop taking oil from them. Seriously? #cnndebate",11
"RT @rolandsmartin: Did Cain just say our border is insecure? Does it need a spa treatment? A smiley face? Some Tony Robbins tapes? #cnndebate",7
"RT @rolandsmartin: Hey Mitt, after your ad deliberately lying about Pres Obama. You quoting him right now is a joke, son #cnndebate",31
"RT @rolandsmartin: I bet Wolfowitz just said, &quot;Damn, Paul, why are you bringing up all of the BS I used to peddle in the Bush admin?&quot; #cnndebate",6
"RT @rolandsmartin: If I was on @CNN after this #cnndebate I would have a field day w/some of this nonsense. But I'm not. So it will have to just be right here!",7
