"","x"
"thisisamerica",1
"thoughtscooterlibby",1
"timetogettough",1
"tiring",1
"tngopdebate",1
"todayinoversimplifications",1
"toddy.",1
"tonguetwister",1
"toodumbforwords",1
"toofar?",1
"toolate",1
"toomuchfridaythethirteenth",1
"topic.",1
"tortureteam",1
"totalfail",1
"totalincoherence",1
"toughness",1
"trainwreck",1
"tripstowin",1
"trust",1
"truthistrue",1
"truthzone",1
"tunisia",1
"turkey",1
"turnoffthemagnets",1
"turnoffthemagnets?",1
"tweetingwhatreallymatters",1
"twitter;",1
"twss",1
"ubekibekistanstan",1
"ufo",1
"uhoh",1
"ultracon",1
"unclefloyd",1
"uncomfortablehumor",1
"underrested",1
"understatement",1
"ungoogleable",1
"unitedstates",1
"unlikely",1
"unoccupy",1
"unpatriotic.",1
"uppers",1
"ureffinnutz!",1
"uscis.",1
"uscorruption.",1
"usdhs",1
"usfail",1
"veteran",1
"video",1
"virtueless",1
"visa",1
"voteeamon2032",1
"voteprogress",1
"wait",1
"waitasecond",1
"wallstreetmitt;",1
"war",1
"war.",1
"warcriminaldrinkinggames",1
"warcriminals",1
"warmongering",1
"warmongers",1
"watchingthatdemocracythinghappen",1
"waytogo",1
"wcrt",1
"wedeservebetter",1
"wedontbelieveyou",1
"wedontneednosactionsforchina",1
"wereintrouble",1
"wesuck",1
"what?",1
"whataboutthefaminethough",1
"whatadumbfuck.",1
"whatajoke",1
"whatanidiot",1
"whataradical",1
"whatelseisnew",1
"whatiswrongwithourcountry?",1
"whatnowbitches",1
"whatsnotbeingtalkedabout",1
"whatwouldreagando",1
"whistle",1
"whoknew",1
"whoneedstv",1
"whopickedthesequestioners?",1
"whysosyrias",1
"wikileakstruck",1
"wingingit",1
"winginit",1
"winners",1
"winning.",1
"winteriscoming",1
"wirecall",1
"wishtheyevenknewwhatasocialistwas",1
"wmd",1
"wolfblitzer:",1
"wolfsays",1
"wolverine,",1
"wonderpets",1
"workitout",1
"wow",1
"wrongaudienceagain",1
"wtf?",1
"wut",1
"wwiii",1
"xmen",1
"yallareboring",1
"yawn",1
"yawnatthispoint",1
"yesapparentlyyoucan",1
"yesitmakesperfectsense",1
"ymt",1
"youasshole",1
"youcantprayitaway",1
"yougohuntsman",1
"youguysarescrewed",1
"youknowyouworkinnewswhen...you",1
"youmakesomuchsense",1
"youmightnotknowthis",1
"zelda",1
"zepplin",1
"zing",1
"zombierickperry",1
"zombieromney",1
